critere,poids,description,score_excellent,score_bon,score_acceptable,score_insuffisant,score_strategy_a,score_strategy_b,score_strategy_c,justification
exactitude,30%,"Présence des informations clés attendues dans la réponse",">= 80% des mots-clés attendus","60-79% des mots-clés","40-59% des mots-clés","< 40% des mots-clés",1,2,2,"A/B partiellement évaluables (erreurs 402). C répond mais parfois trop court."
pertinence,20%,"La réponse est en rapport avec la question posée","Réponse directement liée, complète","Réponse liée mais partielle","Réponse tangentiellement liée","Réponse hors sujet",1,3,2,"B est le plus souvent bien ancré au contexte; A parfois générique; C parfois fragmentaire."
absence_hallucination,20%,"La réponse ne contient pas d'informations inventées","Aucune information douteuse","Informations vérifiables","Quelques éléments suspects","Informations manifestement fausses",1,3,4,"A hallucine davantage; B réduit le risque via contexte; C est extractif donc plus fiable."
latence,15%,"Temps de réponse du système","< 500ms","500ms - 1000ms","1000ms - 2000ms","> 2000ms",4,4,3,"Latences moyennes observées: A=483ms, B=299ms, C=754ms."
aveu_ignorance,15%,"Capacité à reconnaître les questions hors périmètre","Détection correcte (hors sujet)","N/A (question dans périmètre)","N/A (question dans périmètre)","Pas de détection (répond à tort)",1,2,3,"C est plus prudent; A/B peuvent répondre même hors périmètre."
